breed_id,breed_name,species,home_tract,states,origin,coat_colour,horn_characteristics,body_characteristics,production_type,milk_information,description,official_source,official_source_url
cow_kankrej,Kankrej,cattle,"Banaskantha, Sabarkantha, Mehsana, Ahmedabad, Kutch (Gujarat) and Barmer, Jodhpur (Rajasthan)",Gujarat and Rajasthan,"Gujarat & Rajasthan, India","Silver grey to iron grey, darker on shoulder and quarters in males","Large, characteristic lyre-shaped horns emerging outwards and sweeping upwards in an elegant curve","Massive, powerful, deep-chested body; majestic posture and proud carriage",Dual purpose (Milk and Draught),"High milk producer with rich butterfat content (Avg: 1,738 kg per lactation)","One of the heaviest and most majestic Indian cattle breeds, famed for its lyre-shaped horns and rhythmic 'Sawai Chaal' gait.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_kenkatha,Kenkatha,cattle,"Banda, Chitrakoot, Hamirpur (UP) and Panna, Chhatarpur, Damoh (MP)",Uttar Pradesh and Madhya Pradesh,"UP & MP, India","Grey shades varying from light grey to dark grey, occasionally blackish","Medium-sized horns emerging forward, curving outwards and upwards with sharp tips","Small to medium, compact, hardy frame with sturdy legs",Draught,"Low milk yield, cows yield around 1 to 2 litres daily (Avg: 350 kg per lactation)","Indigenous draught breed of the Bundelkhand tract along the Ken river, highly valued for surviving in harsh, rocky terrains.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_kherigarh,Kherigarh,cattle,Lakhimpur Kheri and Pilibhit districts,Uttar Pradesh,"Uttar Pradesh, India",White or light grey with darker shades on neck and shoulder in males,"Long, upstanding horns curving outward and upward with sharp pointed tips","Medium-sized, narrow chest, clean limbs, light and active frame",Draught,"Poor milker, calf gets most of the milk (Avg: 337 kg per lactation)","Terai draught breed of Uttar Pradesh known for energetic movements, upstanding horns, and suitability for swampy grasslands.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_khillar,Khillar,cattle,"Solapur, Sangli, Satara, Kolhapur (Maharashtra) and Bijapur, Belgaum (Karnataka)",Maharashtra and Karnataka,"Maharashtra & Karnataka, India","Greyish white, males darker on fore and hindquarters; pinkish skin tint","Long, sharp, backwards and outwards sweeping horns emerging from top of poll","Compact, muscular, lean body with tight skin and long straight back",Draught,"Low milk producer, bred exclusively for superior draught stamina (Avg: 450 kg per lactation)","Celebrated Maharashtra draught breed bred by Thillari pastoralists, known for fierce energy, speed, and endurance in dry regions.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_krishna_valley,Krishna Valley,cattle,"Belgaum, Bijapur, Bagalkot, Raichur districts along the Krishna river basin",Karnataka,"Karnataka, India",Grey-white with darker shades on forequarters and neck in males,"Small to medium, curved slightly upward and outward","Massive, heavy, broad-chested body with deep frame and thick legs",Draught / Dual purpose,Moderate milk yield under good management (Avg: 916 kg per lactation),Heavy draught cattle breed developed in the Krishna river valley for working deep sticky black cotton soils.,ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_malvi,Malvi,cattle,"Ujjain, Shajapur, Mandsaur, Ratlam, Rajgarh districts in Malwa plateau",Madhya Pradesh,"Madhya Pradesh, India",Silver grey to white; males turn dark grey to black on neck and shoulders with age,"Lyre-shaped horns emerging outwards, curving upwards and inwards","Medium-sized, compact, well-proportioned body with strong straight back",Draught,"Moderate to low milk production, calves grow fast on dam's milk (Avg: 616 kg per lactation)","Prominent draught breed of the Malwa plateau of Madhya Pradesh, celebrated for sturdy constitution and powerful field work.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_mewati,Mewati,cattle,"Alwar, Bharatpur (Rajasthan), Mewat/Nuh (Haryana), and Mathura (UP)","Rajasthan, Haryana and Uttar Pradesh","Rajasthan, Haryana & UP, India","White or light grey, often with darker neck and shoulder in males","Medium length, curving upwards and inwards","Medium-sized, robust, well-knit body with prominent chest",Dual purpose (Milk and Draught),Good milker under rural semi-arid conditions (Avg: 958 kg per lactation),"Dual-purpose breed originating in the Mewat tract, closely related to Hariana and Gir influences, noted for quiet temperament.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_nagori,Nagori,cattle,"Nagaur, Jodhpur and Bikaner districts",Rajasthan,"Rajasthan, India",White to silver grey,Medium-sized horns curving outward and slightly upward,"Large, upstanding, long-legged, muscular body with flat ribs and narrow face",Draught,"Low milk yield, cows yield enough for calf sustenance (Avg: 603 kg per lactation)","Premier fast-trotting draught breed of Rajasthan desert, known for long legs, endurance, and power in loose sandy terrains.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_nimari,Nimari,cattle,East Nimar (Khandwa) and West Nimar (Khargone) districts along the Narmada river,Madhya Pradesh,"Madhya Pradesh, India","Red coat with large white splashes and speckles, occasionally copper red","Horns emerge outward and backward like Gir, curving upward at tips","Medium to large, deep body, straight back, strong muscular neck",Draught / Dual purpose,Moderate milk yield under domestic farm management (Avg: 767 kg per lactation),"Prominent breed of the Narmada valley evolved from Gir and Khillar crosses, combining dairy traits with sturdy draught power.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_ongole,Ongole,cattle,"Prakasam, Bapatla, Guntur and Nellore districts",Andhra Pradesh,"Andhra Pradesh, India",Glossy white or light grey; males possess dark grey markings on neck and hump,"Short, stumpy horns growing outwards and backwards with blunt tips","Massive, majestic, muscular frame with deep chest, strong straight back, and huge hump",Dual purpose (Milk and Heavy Draught),"Good dairy yield with rich fat percentage (Avg: 1,077 kg per lactation)",World-famous Indian indigenous breed from Andhra Pradesh that formed the genetic bedrock of tropical beef and dual cattle worldwide.,ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_ponwar,Ponwar,cattle,Pilibhit and Lakhimpur Kheri districts,Uttar Pradesh,"Uttar Pradesh, India",Black and white patched coat; black face with white blaze on forehead,"Long, upstanding horns curving outward and upward with sharp pointed tips","Small to medium, compact, fiery disposition and light frame",Draught,"Low milk yield, primarily reared for draught bullocks (Avg: 460 kg per lactation)","Small, active draught cattle breed of Rohilkhand, Uttar Pradesh, recognizable by its pied coat and long upstanding horns.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_punganur,Punganur,cattle,"Chittoor district (Punganur, Madanapalli, Vayalpad taluks)",Andhra Pradesh,"Andhra Pradesh, India","White, grey, light brown, or dark brown; occasionally spotted","Short, stumpy crescent horns curving backwards and lateral","Short-stature, ultra-compact miniature frame with short legs and broad chest",Milking (Miniature Dairy),"Remarkably high milk yield relative to body weight, rich in butterfat (up to 8%) (Avg: 546 kg per lactation)","World-famous miniature cattle breed of Andhra Pradesh, cherished for compact size, gentle demeanor, and nutrient-dense rich milk.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_rathi,Rathi,cattle,"Bikaner, Ganganagar, Hanumangarh and Jaisalmer districts",Rajasthan,"Rajasthan, India",Brownish-red with white patches or solid dull brown / greyish white,Short to medium horns curving outwards and upwards,"Medium-sized, deep cylindrical body, loose skin, docile disposition",Milking (Dairy) / Dual purpose,"High milk yielding indigenous breed of the desert tract (Avg: 1,560 kg per lactation)","Major indigenous dairy breed of the Thar desert, bred by the nomadic Raths, valued for high milk yield in severe desert climates.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_red_kandhari,Red Kandhari,cattle,"Nanded, Parbhani, Latur and Beed districts",Maharashtra,"Maharashtra, India",Uniform deep red to dark brownish red,"Small to medium, curved outwards and backwards with sharp black tips","Medium-sized, compact, symmetrical muscular body with strong limbs",Draught,"Low milk yield, cows yield around 1.5 to 3 litres daily (Avg: 598 kg per lactation)","Indigenous draught breed of Maharashtra recognized by its rich, uniform red coat and strong, energetic working bullocks.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_red_sindhi,Red Sindhi,cattle,Maintained in organized government livestock breeding farms across India,On organized farms only,Organized Farms across India (historical origin Sindh),"Deep dark red to light reddish brown, often with darker shades around head and hump in males","Short, thick horns curving upward and slightly inward with blunt tips","Compact, deep dairy conformation, well-sprung ribs, loose dewlap",Milking (Dairy),"High milk yielding indigenous dairy breed with high fat and protein (Avg: 1,840 kg per lactation)","Prominent indigenous dairy breed preserved in government breeding institutions across India, famed for rich milk and docility.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_sahiwal,Sahiwal,cattle,"Fazilka, Ferozepur, Amritsar (Punjab) and Sri Ganganagar (Rajasthan)",Punjab and Rajasthan,"Punjab & Rajasthan, India","Reddish dun to pale red, occasionally with white markings around belly","Short, stumpy, thick horns growing laterally and slightly backward","Large, fleshy, deep-bodied with loose skin ('Lola'), massive hump, and voluminous dewlap",Milking (Dairy),"Premier indigenous milch breed of the Indian subcontinent with high milk volume and fat content (Avg: 2,325 kg per lactation)","The best indigenous dairy breed of the subcontinent, renowned for high A2 milk yield, calm temperament, and loose pendulous skin.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_siri,Siri,cattle,Sikkim and Darjeeling / Kalimpong hill districts of West Bengal,Sikkim and West Bengal,"Sikkim & West Bengal, India","Black with white patches, or solid black, brown, or red","Sharp, medium horns curving forward, upward and inward","Medium-sized, stocky, thick hairy coat protecting against cold mountain rain and snow",Draught / Dual purpose,Moderate milk yield under mountain agro-forestry feeding (Avg: 425 kg per lactation),"Unique Eastern Himalayan hill cattle breed prized for sure-footed mountain draught, cold tolerance, and shaggy coat.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_tharparkar,Tharparkar,cattle,"Barmer, Jaisalmer, and Jodhpur districts along Indo-Pak border",Rajasthan,"Rajasthan, India","White or light grey; males develop darker grey on neck, hump and shoulder in winter","Medium length, curving outward and upward with blunt tips","Medium-sized, compact, deep-chested body with well-developed hump and medium dewlap",Dual purpose (Milk and Draught),"Celebrated dairy producer under extreme desert conditions (Avg: 1,749 kg per lactation)","Remarkable dual-purpose desert breed of Rajasthan, capable of producing abundant milk and powerful draught on sparse desert shrubs.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_umblachery,Umblachery,cattle,"Nagapattinam, Tiruvarur, and Thanjavur districts in Cauvery delta",Tamil Nadu,"Tamil Nadu, India",Calves born reddish brown; turn grey to dark grey with white star on forehead and white socks on all four legs,"Short, stumpy horns curving slightly inward and outward","Short-stature, compact, sturdy body with short legs and tough hooves",Draught,"Low milk yield, cows yield around 1.5 to 2.5 litres daily (Avg: 494 kg per lactation)","Distinctive short-stature draught breed of the Cauvery delta, recognized by white socks, white facial star, and puddling prowess.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_vechur,Vechur,cattle,"Kottayam, Alappuzha, Ernakulam and Kasaragod districts",Kerala,"Kerala, India","Light red, black, fawn, or white","Small, thin horns curving slightly forward and downward or forward and upward","Extremely small miniature body (height 80-90 cm), lightweight (130-200 kg), fine bones",Milking (Miniature Dairy),High milk production relative to tiny body weight; milk fat globules are very small and medicinal (Avg: 561 kg per lactation),"Smallest cattle breed in the world, conserved by Kerala Agricultural University, prized for medicinal milk and low maintenance.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_motu,Motu,cattle,"Malkangiri (Odisha), Sukma (Chhattisgarh), and East Godavari (AP)","Odisha, Chhattisgarh and Andhra Pradesh","Odisha, Chhattisgarh & AP, India","Brown, grey, or black","Short, straight horns pointing upward and outward","Small-sized, compact, hardy body with strong legs",Draught,"Low milk yield, primarily reared for draught and organic manure (Avg: 140 kg per lactation)","Tribal hill draught cattle of the Dandakaranya forest tract, reared by Koya tribes for farming and forest transport.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_ghumusari,Ghumusari,cattle,Ganjam and Kandhamal districts,Odisha,"Odisha, India",White or grey with darker shades on neck in males,"Small, curved upward and inward","Small to medium, compact, hardy body",Draught,"Low milk yield, around 1 to 2 litres daily (Avg: 460 kg per lactation)","Indigenous draught breed of southern Odisha, valued for hardiness, docility, and agricultural work in undulating hills.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_binjharpuri,Binjharpuri,cattle,"Jajpur, Bhadrak, and Kendrapara districts",Odisha,"Odisha, India","Predominantly white; some animals grey, black, or brown",Medium horns curving upwards and inwards,"Medium-sized, well-proportioned body with strong legs",Dual purpose (Milk and Draught),Good milker among eastern indigenous breeds (Avg: 915 kg per lactation),"Prominent dual-purpose breed of coastal Odisha, valued for good milk yield and energetic draught in delta soils.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_khariar,Khariar,cattle,Nuapada and Kalahandi districts,Odisha,"Odisha, India","Brown, grey, or white","Short, curved upwards and outwards","Small-sized, compact, light-bodied with sturdy legs",Draught,"Low milk yield, primarily kept for bullock production (Avg: 310 kg per lactation)","Hardy, small-sized draught breed of western Odisha, bred by tribal farmers for resilient work in dry plateau lands.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_pulikulam,Pulikulam,cattle,"Sivagangai, Madurai, Dindigul and Theni districts",Tamil Nadu,"Tamil Nadu, India",Dark grey in males with black markings on head and neck; females are white or light grey,"Long, sharp, curved backward and outward with pointed tips","Small to medium, compact, lithe, extremely athletic frame",Draught / Game (Jallikattu),"Low milk yield, cows yield 1 to 2 litres daily (Avg: 360 kg per lactation)","Renowned indigenous breed of Tamil Nadu, celebrated for fiery spirit in traditional Jallikattu and migratory penning for soil fertility.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_kosali,Kosali,cattle,"Raipur, Bilaspur, Durg, and Rajnandgaon districts",Chhattisgarh,"Chhattisgarh, India",Light grey to white; occasional reddish or blackish patches,"Short, stumpy, curving upwards and inwards","Small, compact, energetic body with straight back",Draught,"Low milk yield, around 1 to 2.5 litres daily (Avg: 210 kg per lactation)","Traditional cattle breed of Chhattisgarh, indispensable for smallholder paddy farming and puddling in clayey soils.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_malnad_gidda,Malnad Gidda,cattle,"Shimoga, Chikmagalur, Uttara Kannada, Dakshina Kannada, Udupi and Hassan districts",Karnataka,"Karnataka, India","Black, brown, fawn, or white; occasionally mixed","Small, thin horns curving upwards and outwards","Dwarf, compact body (height 85-100 cm), agile, lightweight",Dual purpose (Dwarf Dairy & Draught),Modest milk yield with high medicinal value and sweet taste (Avg: 220 kg per lactation),"Indigenous dwarf cattle breed of the Western Ghats of Karnataka, recognized for disease resistance, medicinal milk, and foraging agility.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_belahi,Belahi,cattle,"Panchkula, Ambala (Haryana) and Chandigarh",Haryana and Chandigarh,"Haryana & Chandigarh, India","Distinctive reddish-brown to dull red, with white markings on face and legs",Short to medium horns curving outwards and upwards,"Medium-sized, robust, energetic frame with sturdy legs",Dual purpose (Milk and Draught),"Fair milk yield under migratory pastoral management by Gujjars (Avg: 1,014 kg per lactation)","Migratory cattle breed of the Shivalik foothills reared by pastoral Gujjars, noted for reddish coat and dual utility.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_gangatiri,Gangatiri,cattle,"Varanasi, Ghazipur, Ballia, Chandauli (UP) and Bhojpur, Buxar (Bihar)",Uttar Pradesh and Bihar,"UP & Bihar, India",Complete white or dull grey,"Medium horns curving outwards, upwards and slightly forward","Medium-sized, compact, well-built body with straight back and prominent hump",Dual purpose (Milk and Draught),"Good dairy yield in rural household conditions (Avg: 1,050 kg per lactation)","Dual-purpose breed indigenous to the banks of the river Ganga in eastern UP and western Bihar, prized for milk and steady draught.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_badri,Badri,cattle,"Almora, Pauri Garhwal, Chamoli, Tehri Garhwal, Rudraprayag, and Pithoragarh districts",Uttarakhand,"Uttarakhand, India","Black, brown, red, or grey, occasionally with white patches","Small, straight or curving slightly upward and outward","Small-sized, compact, lightweight, sure-footed body",Hill / Dual purpose,Modest milk yield (1 to 3 litres daily) rich in A2 beta-casein and antioxidants (Avg: 548 kg per lactation),"Indigenous hill cattle of Uttarakhand, grazing on alpine medicinal herbs, famous for rich A2 milk and sure-footed terrace plowing.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_lakhimi,Lakhimi,cattle,All districts across the Brahmaputra valley of Assam,Assam,"Assam, India","Brown, grey, white, black, or variegated","Small, curving upwards and inwards","Small-sized, compact body, short legs, docile temperament",Draught / Dual purpose,"Low milk yield, cows yield around 1 to 2 litres daily (Avg: 310 kg per lactation)","Ubiquitous indigenous cattle of Assam, essential to traditional rice agriculture and resilient against humid tropical diseases.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_ladakhi,Ladakhi,cattle,Leh and Kargil districts of Ladakh,Jammu and Kashmir,"Ladakh, J&K, India","Black or brown, sometimes with white markings","Short, curving upward and slightly forward","Small, stocky body with thick long hairy coat and compact limbs",High altitude / Dual purpose,"Moderate milk yield with high fat content, used for butter tea and cheese (Avg: 480 kg per lactation)","Unique indigenous cattle of Ladakh, adapted to severe cold desert conditions and low oxygen at extreme altitudes.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_konkan_kapila,Konkan Kapila,cattle,"Sindhudurg, Ratnagiri, Raigad, Thane (Maharashtra) and North & South Goa",Maharashtra and Goa,"Maharashtra & Goa, India","Reddish brown, grey, white, or black",Straight or curving slightly outward and upward,"Small to medium, compact, hardy body with strong legs",Dual purpose (Milk and Draught),"Modest milk yield, around 1.5 to 3 litres daily (Avg: 475 kg per lactation)","Indigenous cattle breed of the Konkan coast and Goa, well-suited for coastal agriculture, orchards, and wet paddy fields.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_poda_thurpu,Poda Thurpu,cattle,Nagarkurnool and Mahabubnagar districts (Amrabad forest area),Telangana,"Telangana, India",White with reddish-brown or black speckles / spots (Poda means spotted),"Medium, pointing upward and backward","Medium-sized, compact, muscular frame with tight skin",Draught,"Low milk yield, cows sustain active calves (Avg: 400 kg per lactation)","Hardy draught breed of Telangana reared by Golla and Lambada communities in Amrabad forests, recognized by speckled coat.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_nari,Nari,cattle,"Sirohi, Pali (Rajasthan) and Banaskantha, Sabarkantha (Gujarat)",Rajasthan and Gujarat,"Rajasthan & Gujarat, India",White or greyish white,"Medium, curving upward and outward","Medium-sized, sturdy, well-knit body with strong back",Dual purpose (Milk and Draught),Good dairy yield under semi-arid range management (Avg: 980 kg per lactation),"Dual-purpose breed indigenous to the Aravalli hills, reared by pastoralist communities for milk and sturdy draught power.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_dagri,Dagri,cattle,"Dahod, Panchmahal, and Chhota Udepur districts",Gujarat,"Gujarat, India","Predominantly white, grey, or light brown","Short, curved upwards and outwards","Small, compact, agile body with strong hooves",Draught,"Low milk yield, cows produce 1 to 2 litres daily (Avg: 315 kg per lactation)","Small-sized draught breed reared by Bhil tribes in eastern Gujarat, valued for agility in undulating fields.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_thutho,Thutho,cattle,"Kohima, Phek, and Zunheboto districts",Nagaland,"Nagaland, India","Black, brown, white, or piebald","Short, sharp, pointing upward and outward","Medium-sized, heavy, muscular frame with stocky legs",Meat / Draught,"Low milk yield, primarily reared for meat, social rituals, and light agricultural work (Avg: Not available from verified source)","Indigenous cattle breed of Nagaland reared under semi-open forest grazing systems, essential to tribal social traditions.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_shweta_kapila,Shweta Kapila,cattle,"North Goa (Valpoi, Bicholim) and South Goa (Canacona, Sanguem)",Goa,"Goa, India","Completely white coat with white eyelashes, muzzle, hooves and skin","Small, curving upwards and outwards","Small to medium, compact, docile body with straight back",Milking (Dairy) / Dual purpose,Good milker in tropical coastal environment (Avg: 580 kg per lactation),"Sacred white cattle breed of Goa characterized by complete white pigmentation across hair, skin, muzzle, and hooves.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_himachali_pahari,Himachali Pahari,cattle,"Kullu, Mandi, Shimla, Kangra, Chamba, and Sirmaur districts",Himachal Pradesh,"Himachal Pradesh, India","Black, brown, red, grey, or white","Small, curving upwards and inwards","Small, compact, sturdy body with thick hair coat and short strong legs",Hill / Draught / Milk,Low to moderate milk yield (1.5 to 3 litres daily) rich in fat and proteins (Avg: 515 kg per lactation),"Sure-footed mountain cattle of Himachal Pradesh, crucial for sustaining agro-pastoral livelihoods on terraced mountain slopes.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
